Date,Open,High,Low,Close,Volume
2024-01-01,100.0,100.4965,99.9555,100.4271,1105297
2024-01-02,100.4271,101.4801,100.2936,100.8759,959899
2024-01-03,100.8759,101.2654,100.7822,101.2185,1174533
2024-01-04,101.2185,102.6688,100.9196,102.6234,847800
2024-01-05,102.6234,104.0855,102.6063,103.5425,984051
2024-01-06,103.5425,105.434,103.4132,104.8245,1073554
2024-01-07,104.8245,106.6546,104.6666,106.5521,1037232
2024-01-08,106.5521,108.6735,106.3099,108.1917,772821
2024-01-09,108.1917,108.4543,105.0531,105.4394,1131401
2024-01-10,105.4394,107.4338,105.082,106.9125,849669
2024-01-11,106.9125,107.5696,106.8636,107.4433,1122795
2024-01-12,107.4433,109.0635,107.164,108.9111,1071773
2024-01-13,108.9111,109.2236,108.5407,108.7451,1074898
2024-01-14,108.7451,110.0903,108.3888,109.0712,835168
2024-01-15,109.0712,111.3612,108.8506,110.7315,1125372
2024-01-16,110.7315,113.3338,110.1012,113.2912,920188
2024-01-17,113.2912,115.932,113.276,115.2664,1037985
2024-01-18,115.2664,115.8558,114.9986,115.5214,1348211
2024-01-19,115.5214,117.3594,115.2618,117.074,875262
2024-01-20,117.074,119.3843,117.0411,119.1143,1112395
2024-01-21,119.1143,119.2542,117.9199,118.7949,837628
2024-01-22,118.7949,118.9924,118.1316,118.6983,997229
2024-01-23,118.6983,119.8633,118.1833,119.7828,1134003
2024-01-24,119.7828,121.3837,119.3499,120.8949,1057157
2024-01-25,120.8949,123.415,119.9504,123.4002,946168
2024-01-26,123.4002,126.5579,123.1454,126.4996,830732
2024-01-27,126.4996,127.7526,126.0865,127.0294,1103332
2024-01-28,127.0294,127.3906,123.8938,124.1699,917511
2024-01-29,124.1699,124.171,123.1247,123.9801,841734
2024-01-30,123.9801,124.7634,123.7588,124.0875,945362
2024-01-31,124.0875,125.5981,123.9783,124.9776,818557
2024-02-01,124.9776,127.0566,123.8361,127.055,1042126
2024-02-02,127.055,130.5767,126.9929,129.8996,1048471
2024-02-03,129.8996,134.2971,129.3848,133.4002,1088703
2024-02-04,133.4002,137.0449,133.3724,136.6555,921752
2024-02-05,136.6555,136.7623,135.3247,135.4286,1303040
2024-02-06,135.4286,135.6021,134.3993,135.2481,940680
2024-02-07,135.2481,136.9333,134.4647,136.4835,993377
2024-02-08,136.4835,136.7334,135.1924,135.4725,1073748
2024-02-09,135.4725,136.0867,135.0994,135.1469,1104973
2024-02-10,135.1469,137.0057,134.992,136.6726,1322919
2024-02-11,136.6726,136.8344,136.4644,136.5256,1222415
2024-02-12,136.5256,136.8092,135.5227,136.174,923071
2024-02-13,136.174,136.3371,132.6859,132.8079,908798
2024-02-14,132.8079,133.9898,132.2793,133.6649,1077732
2024-02-15,133.6649,134.4578,132.5751,132.8157,993217
2024-02-16,132.8157,133.0935,130.8407,131.0966,913369
2024-02-17,131.0966,131.7348,130.7229,131.2021,1057133
2024-02-18,131.2021,132.3913,129.7081,130.6816,1104292
2024-02-19,130.6816,130.734,128.6922,129.6786,998714
2024-02-20,129.6786,132.8817,129.4968,132.6471,926372
2024-02-21,132.6471,132.6803,130.869,131.0171,1030373
2024-02-22,131.0171,132.0666,127.0986,127.1835,1261435
2024-02-23,127.1835,127.3324,123.5535,125.1377,869540
2024-02-24,125.1377,125.4113,122.1605,122.3918,1104001
2024-02-25,122.3918,123.9246,121.6074,123.7974,934745
2024-02-26,123.7974,125.3777,122.8283,125.1446,994742
2024-02-27,125.1446,127.8218,124.8634,126.7437,1046395
2024-02-28,126.7437,127.1712,124.3271,124.3505,1075479
2024-02-29,124.3505,124.9574,123.7775,124.7188,883332
2024-03-01,124.7188,125.0398,121.3555,122.4884,950008
2024-03-02,122.4884,123.4065,122.4535,122.6597,1150192
2024-03-03,122.6597,123.0249,121.2538,121.5818,1229100
2024-03-04,121.5818,122.7849,119.9622,122.546,995148
2024-03-05,122.546,123.1194,122.4372,122.9681,1347425
2024-03-06,122.9681,125.3974,122.7714,124.6994,1064250
2024-03-07,124.6994,126.0487,123.5743,125.3725,714044
2024-03-08,125.3725,125.4243,124.5917,124.764,884548
2024-03-09,124.764,125.7736,122.2709,122.4321,1055508
2024-03-10,122.4321,123.7916,122.3387,123.4012,1202389
2024-03-11,123.4012,123.7274,122.4502,122.7057,912278
2024-03-12,122.7057,122.7824,118.9069,119.0259,945660
2024-03-13,119.0259,119.2029,116.7231,117.5302,1005738
2024-03-14,117.5302,117.8083,116.3117,116.3441,810285
2024-03-15,116.3441,116.3726,114.8501,115.7039,1141521
2024-03-16,115.7039,117.0095,115.3938,116.6768,829092
2024-03-17,116.6768,116.8722,116.2892,116.6468,1299906
2024-03-18,116.6468,117.8647,116.3889,116.9744,938888
2024-03-19,116.9744,117.1924,116.3265,116.5085,694127
2024-03-20,116.5085,116.8685,113.8274,114.423,1285472
2024-03-21,114.423,117.9177,114.0708,116.9561,712556
2024-03-22,116.9561,119.4001,116.4222,119.2792,1301485
2024-03-23,119.2792,121.1703,119.1392,120.2606,890329
2024-03-24,120.2606,120.7055,119.5999,120.4814,786507
2024-03-25,120.4814,121.8786,120.0828,121.0005,1031597
2024-03-26,121.0005,121.6891,120.6869,121.3543,1014557
2024-03-27,121.3543,122.2096,119.6605,120.0406,974933
2024-03-28,120.0406,120.4172,118.5967,119.1835,978028
2024-03-29,119.1835,119.9887,118.8896,119.9002,982603
2024-03-30,119.9002,121.1479,119.5023,121.0592,1100857
2024-03-31,121.0592,121.4755,120.4955,120.9503,888889
2024-04-01,120.9503,121.3692,119.5596,119.5819,1235515
2024-04-02,119.5819,122.9244,118.8414,122.9125,942781
2024-04-03,122.9125,123.6443,122.7397,122.8628,1043041
2024-04-04,122.8628,123.2404,121.8759,122.2469,1268002
2024-04-05,122.2469,122.6527,121.8917,122.0738,1143151
2024-04-06,122.0738,122.3091,120.7792,121.1318,1112367
2024-04-07,121.1318,123.4983,120.583,123.227,881071
2024-04-08,123.227,123.8165,122.2986,122.7022,1000314
2024-04-09,122.7022,122.9779,120.7042,121.0093,861417
2024-04-10,121.0093,121.1286,119.1095,120.1287,1054114
2024-04-11,120.1287,120.721,119.6304,120.4394,1091716
2024-04-12,120.4394,120.7622,119.2908,119.6234,772588
2024-04-13,119.6234,119.9253,119.1724,119.2057,1031668
2024-04-14,119.2057,119.8596,119.097,119.318,952751
2024-04-15,119.318,119.6625,117.3954,117.6439,1217621
2024-04-16,117.6439,117.6563,116.6201,116.6475,986858
2024-04-17,116.6475,117.5209,116.2626,116.7204,1097980
2024-04-18,116.7204,119.4272,116.5715,118.3621,994578
2024-04-19,118.3621,119.3553,117.5425,118.4352,1072865
2024-04-20,118.4352,119.6582,115.4631,116.404,792734
2024-04-21,116.404,118.3652,116.2981,117.9555,825473
2024-04-22,117.9555,119.4033,117.3338,118.8793,851034
2024-04-23,118.8793,118.9376,117.836,117.8476,1213703
2024-04-24,117.8476,118.6473,117.5835,118.0768,914082
2024-04-25,118.0768,119.3461,118.0205,119.1632,1130441
2024-04-26,119.1632,119.2281,118.3814,118.4671,1229227
2024-04-27,118.4671,118.6333,117.891,118.3862,1102907
2024-04-28,118.3862,118.549,116.716,117.6106,1156478
2024-04-29,117.6106,117.9763,115.2993,115.7896,799829
2024-04-30,115.7896,116.2927,115.3271,116.2581,1201439
2024-05-01,116.2581,119.8683,115.5843,118.9304,1121234
2024-05-02,118.9304,119.1153,117.6044,117.6654,1103777
2024-05-03,117.6654,117.9834,117.2998,117.9385,1193854
2024-05-04,117.9385,118.0988,117.586,117.8272,1015948
2024-05-05,117.8272,118.2554,117.3494,118.1786,1119461
2024-05-06,118.1786,120.8922,117.8324,120.7748,1125710
2024-05-07,120.7748,122.8725,120.6722,122.7236,1129601
2024-05-08,122.7236,123.9194,122.7119,123.4385,716737
2024-05-09,123.4385,124.2521,122.8283,124.047,1022691
